"lat","lon","alt","vel"
-15.818268,-48.060660,1211.200000,0.130000
-15.818268,-48.060660,1211.200000,0.052000
-15.818268,-48.060660,1211.200000,0.127000
-15.818268,-48.060660,1211.400000,0.121000
-15.818268,-48.060659,1211.600000,0.126000
-15.818267,-48.060659,1211.800000,0.046000
-15.818268,-48.060660,1212.100000,0.231000
-15.818268,-48.060661,1212.400000,0.194000
-15.818267,-48.060660,1212.600000,0.058000
-15.818265,-48.060660,1213.100000,0.133000
-15.818266,-48.060660,1213.600000,0.158000
-15.818266,-48.060661,1213.700000,0.090000
-15.818267,-48.060660,1214.000000,0.347000
-15.818269,-48.060660,1214.300000,0.442000
-15.818268,-48.060659,1214.300000,0.197000
-15.818271,-48.060659,1214.300000,0.158000
-15.818268,-48.060658,1214.500000,0.194000
-15.818266,-48.060659,1214.700000,0.425000
-15.818264,-48.060654,1215.100000,0.833000
-15.818264,-48.060658,1215.400000,0.414000
-15.818262,-48.060660,1215.300000,0.601000
-15.818254,-48.060658,1215.300000,1.481000
-15.818250,-48.060657,1215.000000,1.132000
-15.818247,-48.060658,1215.000000,0.919000
-15.818245,-48.060660,1215.100000,0.694000
-15.818243,-48.060665,1215.200000,0.659000
-15.818242,-48.060669,1215.400000,0.286000
-15.818235,-48.060682,1214.800000,0.182000
-15.818233,-48.060684,1214.900000,0.326000
-15.818235,-48.060687,1214.600000,0.689000
-15.818239,-48.060687,1214.800000,0.495000
-15.818240,-48.060686,1213.900000,0.223000
-15.818240,-48.060687,1213.900000,0.220000
-15.818237,-48.060690,1213.700000,0.858000
-15.818233,-48.060693,1213.000000,1.259000
-15.818231,-48.060697,1213.200000,0.906000
-15.818236,-48.060712,1212.600000,1.639000
-15.818238,-48.060716,1211.700000,0.763000
-15.818244,-48.060721,1210.700000,0.586000
-15.818246,-48.060730,1212.000000,0.522000
-15.818247,-48.060731,1213.900000,0.114000
-15.818253,-48.060733,1213.800000,0.333000
-15.818251,-48.060734,1215.000000,0.094000
-15.818249,-48.060734,1214.900000,0.024000
-15.818252,-48.060735,1214.700000,0.062000
-15.818254,-48.060736,1214.500000,0.034000
-15.818254,-48.060739,1214.600000,0.044000
-15.818254,-48.060743,1214.800000,0.076000
-15.818254,-48.060747,1215.000000,0.033000
-15.818253,-48.060752,1214.400000,0.029000
-15.818253,-48.060755,1214.100000,0.041000
-15.818253,-48.060757,1214.200000,0.008000
-15.818253,-48.060757,1214.100000,0.117000
-15.818254,-48.060759,1213.900000,0.722000
-15.818259,-48.060765,1213.400000,1.897000
-15.818273,-48.060770,1213.200000,4.035000
-15.818295,-48.060770,1212.900000,5.458000
-15.818323,-48.060758,1212.000000,6.898000
-15.818360,-48.060747,1211.700000,7.879000
-15.818399,-48.060733,1211.300000,8.558000
-15.818439,-48.060718,1210.700000,9.130000
-15.818488,-48.060702,1210.500000,10.764000
-15.818539,-48.060685,1210.400000,11.065000
-15.818592,-48.060667,1209.600000,11.521000
-15.818647,-48.060647,1209.300000,12.544000
-15.818703,-48.060626,1208.100000,12.309000
-15.818761,-48.060601,1207.700000,12.993000
-15.818821,-48.060583,1207.400000,13.385000
-15.818881,-48.060569,1207.100000,13.099000
-15.818943,-48.060553,1207.200000,13.350000
-15.819002,-48.060533,1207.400000,12.748000
-15.819050,-48.060515,1207.500000,10.018000
-15.819083,-48.060500,1207.500000,6.716000
-15.819104,-48.060487,1207.400000,4.572000
-15.819123,-48.060475,1207.800000,4.633000
-15.819145,-48.060467,1208.300000,4.516000
-15.819172,-48.060461,1208.200000,6.023000
-15.819203,-48.060451,1208.400000,6.988000
-15.819237,-48.060444,1208.000000,7.204000
-15.819262,-48.060445,1208.000000,4.280000
-15.819276,-48.060443,1208.100000,2.688000
-15.819283,-48.060446,1208.400000,0.526000
-15.819284,-48.060447,1209.000000,0.274000
-15.819285,-48.060447,1209.800000,0.053000
-15.819287,-48.060447,1210.300000,0.033000
-15.819289,-48.060447,1210.600000,0.659000
-15.819306,-48.060442,1210.600000,4.290000
-15.819338,-48.060430,1210.400000,7.543000
-15.819375,-48.060416,1210.300000,8.237000
-15.819418,-48.060400,1210.400000,10.134000
-15.819467,-48.060384,1210.600000,11.053000
-15.819513,-48.060366,1210.400000,9.870000
-15.819546,-48.060351,1210.700000,6.888000
-15.819571,-48.060342,1210.800000,5.109000
-15.819592,-48.060335,1211.000000,4.396000
-15.819615,-48.060328,1211.200000,4.906000
-15.819644,-48.060318,1211.100000,7.770000
-15.819685,-48.060301,1211.300000,9.886000
-15.819734,-48.060280,1211.600000,12.224000
-15.819793,-48.060256,1211.900000,14.109000
-15.819855,-48.060232,1212.000000,14.340000
-15.819921,-48.060210,1211.400000,14.895000
-15.819988,-48.060187,1211.200000,15.182000
-15.820056,-48.060162,1211.000000,15.279000
-15.820124,-48.060137,1210.800000,15.334000
-15.820192,-48.060114,1210.400000,15.246000
-15.820262,-48.060090,1210.300000,15.738000
-15.820333,-48.060064,1210.300000,16.039000
-15.820408,-48.060038,1210.100000,17.218000
-15.820483,-48.060013,1209.900000,16.756000
-15.820552,-48.059988,1209.300000,15.098000
-15.820612,-48.059967,1209.600000,12.489000
-15.820657,-48.059951,1209.300000,9.551000
-15.820694,-48.059943,1208.400000,7.007000
-15.820722,-48.059934,1208.500000,5.309000
-15.820743,-48.059928,1208.200000,4.775000
-15.820768,-48.059920,1207.700000,5.871000
-15.820807,-48.059907,1207.900000,9.139000
-15.820856,-48.059890,1208.100000,11.618000
-15.820914,-48.059871,1207.800000,12.761000
-15.820974,-48.059850,1207.800000,13.730000
-15.821036,-48.059827,1207.200000,14.217000
-15.821098,-48.059807,1207.400000,14.360000
-15.821162,-48.059784,1207.200000,14.762000
-15.821223,-48.059765,1206.400000,12.853000
-15.821271,-48.059747,1206.700000,10.080000
-15.821307,-48.059732,1206.700000,7.647000
-15.821334,-48.059719,1206.700000,5.334000
-15.821357,-48.059704,1207.200000,5.957000
-15.821392,-48.059691,1206.900000,8.242000
-15.821439,-48.059678,1207.000000,11.198000
-15.821500,-48.059660,1206.700000,13.950000
-15.821566,-48.059641,1206.600000,14.623000
-15.821636,-48.059618,1206.500000,15.966000
-15.821710,-48.059591,1206.500000,17.056000
-15.821781,-48.059565,1205.800000,15.917000
-15.821853,-48.059541,1205.400000,16.392000
-15.821927,-48.059516,1205.100000,16.603000
-15.821998,-48.059488,1204.700000,16.218000
-15.822071,-48.059462,1204.500000,16.269000
-15.822143,-48.059441,1203.600000,15.584000
